"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2020",880130.9,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2021",893819.5,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2022",907921.6,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2023",922883.9,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2024",938795.8,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2025",955576.7,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2026",973023.6,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2027",991000.7,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2028",1009437,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2029",1028319,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2030",1047679,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2031",1067583,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2032",1088118,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2033",1109361,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2034",1131370,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2035",1154203,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2036",1177939,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2037",1202511,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2038",1227985,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2039",1254399,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2040",1281758,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2041",1310053,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2042",1339426,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2043",1369845,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2044",1401269,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2045",1433664,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2046",1467028,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2047",1501378,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2048",1536721,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2049",1573032,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2050",1610258,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2051",1648351,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2052",1687072,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2053",1726396,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2054",1766295,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2055",1806748,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2056",1847753,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2057",1889581,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2058",1932299,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2059",1975986,
"NLD","GDPLTFORECAST","TOT","MLN_USD","A","2060",2020737,
